DEBUG 2018-08-13 18:22:45,155 - Running the naive_bayes model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,161 - Running the decision_tree model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,187 - Running the rfc model of the 0 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,594 - Running the svm_kernel model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,636 - Running the naive_bayes model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,642 - Running the decision_tree model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:45,667 - Running the rfc model of the 1 th iteration for Faces_con_0001_389 contrast
DEBUG 2018-08-13 18:22:46,216 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,231 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,237 - Running the decision_tree model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,247 - Running the rfc model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,502 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,515 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,521 - Running the decision_tree model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,531 - Running the rfc model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,777 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,789 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,794 - Running the decision_tree model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:46,804 - Running the rfc model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,050 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,061 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,077 - Running the decision_tree model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,090 - Running the rfc model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,330 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,342 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,348 - Running the decision_tree model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,358 - Running the rfc model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,600 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,614 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,620 - Running the decision_tree model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,630 - Running the rfc model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,949 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,971 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,977 - Running the decision_tree model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:47,994 - Running the rfc model of the 0 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:48,310 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:48,331 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:48,337 - Running the decision_tree model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:48,352 - Running the rfc model of the 1 th iteration for Faces_con_0002 contrast
DEBUG 2018-08-13 18:22:48,803 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:48,819 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:48,825 - Running the decision_tree model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:48,838 - Running the rfc model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,129 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,145 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,151 - Running the decision_tree model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,167 - Running the rfc model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,447 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,468 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,474 - Running the decision_tree model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,492 - Running the rfc model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,790 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,811 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,817 - Running the decision_tree model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:49,836 - Running the rfc model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,139 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,160 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,166 - Running the decision_tree model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,180 - Running the rfc model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,484 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,506 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,511 - Running the decision_tree model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,527 - Running the rfc model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,905 - Running the svm_kernel model of the 0 th iteration for Faces_con_0002_389 contrast
