Score,Type,Model,Classifier,Contrast_name,Tuning
1.0,train,svm_kernel,12,Faces_con_0001,False
0.42857142857142855,test,svm_kernel,12,Faces_con_0001,False
0.7194244604316546,train,naive_bayes,12,Faces_con_0001,False
0.5142857142857142,test,naive_bayes,12,Faces_con_0001,False
1.0,train,decision_tree,12,Faces_con_0001,False
0.5142857142857142,test,decision_tree,12,Faces_con_0001,False
1.0,train,svm_kernel,12,Faces_con_0001_389,False
0.46808510638297873,test,svm_kernel,12,Faces_con_0001_389,False
0.5913978494623656,train,naive_bayes,12,Faces_con_0001_389,False
0.5957446808510638,test,naive_bayes,12,Faces_con_0001_389,False
1.0,train,decision_tree,12,Faces_con_0001_389,False
0.48936170212765956,test,decision_tree,12,Faces_con_0001_389,False
1.0,train,svm_kernel,12,Faces_con_0002,False
0.5428571428571428,test,svm_kernel,12,Faces_con_0002,False
0.697841726618705,train,naive_bayes,12,Faces_con_0002,False
0.6,test,naive_bayes,12,Faces_con_0002,False
1.0,train,decision_tree,12,Faces_con_0002,False
0.42857142857142855,test,decision_tree,12,Faces_con_0002,False
1.0,train,svm_kernel,12,Faces_con_0002_389,False
0.48936170212765956,test,svm_kernel,12,Faces_con_0002_389,False
0.5913978494623656,train,naive_bayes,12,Faces_con_0002_389,False
0.46808510638297873,test,naive_bayes,12,Faces_con_0002_389,False
1.0,train,decision_tree,12,Faces_con_0002_389,False
0.5106382978723404,test,decision_tree,12,Faces_con_0002_389,False
0.9712230215827338,train,svm_kernel,12,Faces_con_0003,False
0.45714285714285713,test,svm_kernel,12,Faces_con_0003,False
0.6618705035971223,train,naive_bayes,12,Faces_con_0003,False
0.6,test,naive_bayes,12,Faces_con_0003,False
1.0,train,decision_tree,12,Faces_con_0003,False
0.5714285714285714,test,decision_tree,12,Faces_con_0003,False
0.978494623655914,train,svm_kernel,12,Faces_con_0003_389,False
0.3617021276595745,test,svm_kernel,12,Faces_con_0003_389,False
0.6290322580645161,train,naive_bayes,12,Faces_con_0003_389,False
0.48936170212765956,test,naive_bayes,12,Faces_con_0003_389,False
1.0,train,decision_tree,12,Faces_con_0003_389,False
0.48936170212765956,test,decision_tree,12,Faces_con_0003_389,False
0.9928057553956835,train,svm_kernel,12,Faces_con_0004,False
0.5142857142857142,test,svm_kernel,12,Faces_con_0004,False
0.6690647482014388,train,naive_bayes,12,Faces_con_0004,False
0.4,test,naive_bayes,12,Faces_con_0004,False
1.0,train,decision_tree,12,Faces_con_0004,False
0.5142857142857142,test,decision_tree,12,Faces_con_0004,False
0.9838709677419355,train,svm_kernel,12,Faces_con_0004_389,False
0.574468085106383,test,svm_kernel,12,Faces_con_0004_389,False
0.6612903225806451,train,naive_bayes,12,Faces_con_0004_389,False
0.5319148936170213,test,naive_bayes,12,Faces_con_0004_389,False
1.0,train,decision_tree,12,Faces_con_0004_389,False
0.5319148936170213,test,decision_tree,12,Faces_con_0004_389,False
0.9496402877697842,train,svm_kernel,12,Faces_con_0005,False
0.5714285714285714,test,svm_kernel,12,Faces_con_0005,False
0.6474820143884892,train,naive_bayes,12,Faces_con_0005,False
0.6,test,naive_bayes,12,Faces_con_0005,False
1.0,train,decision_tree,12,Faces_con_0005,False
0.5714285714285714,test,decision_tree,12,Faces_con_0005,False
0.978494623655914,train,svm_kernel,12,Faces_con_0005_389,False
0.5531914893617021,test,svm_kernel,12,Faces_con_0005_389,False
0.6451612903225806,train,naive_bayes,12,Faces_con_0005_389,False
0.46808510638297873,test,naive_bayes,12,Faces_con_0005_389,False
1.0,train,decision_tree,12,Faces_con_0005_389,False
0.574468085106383,test,decision_tree,12,Faces_con_0005_389,False
1.0,train,svm_kernel,12,nBack_con_0001,False
0.425,test,svm_kernel,12,nBack_con_0001,False
0.5849056603773585,train,naive_bayes,12,nBack_con_0001,False
0.575,test,naive_bayes,12,nBack_con_0001,False
1.0,train,decision_tree,12,nBack_con_0001,False
0.575,test,decision_tree,12,nBack_con_0001,False
1.0,train,svm_kernel,12,nBack_con_0001_407,False
0.5106382978723404,test,svm_kernel,12,nBack_con_0001_407,False
0.5860215053763441,train,naive_bayes,12,nBack_con_0001_407,False
0.6170212765957447,test,naive_bayes,12,nBack_con_0001_407,False
1.0,train,decision_tree,12,nBack_con_0001_407,False
0.44680851063829785,test,decision_tree,12,nBack_con_0001_407,False
0.9685534591194969,train,svm_kernel,12,nBack_con_0002,False
0.4,test,svm_kernel,12,nBack_con_0002,False
0.6037735849056604,train,naive_bayes,12,nBack_con_0002,False
0.375,test,naive_bayes,12,nBack_con_0002,False
1.0,train,decision_tree,12,nBack_con_0002,False
0.375,test,decision_tree,12,nBack_con_0002,False
0.9623655913978495,train,svm_kernel,12,nBack_con_0002_407,False
0.3191489361702128,test,svm_kernel,12,nBack_con_0002_407,False
0.5752688172043011,train,naive_bayes,12,nBack_con_0002_407,False
0.48936170212765956,test,naive_bayes,12,nBack_con_0002_407,False
1.0,train,decision_tree,12,nBack_con_0002_407,False
0.46808510638297873,test,decision_tree,12,nBack_con_0002_407,False
1.0,train,svm_kernel,12,nBack_con_0003,False
0.525,test,svm_kernel,12,nBack_con_0003,False
0.6918238993710691,train,naive_bayes,12,nBack_con_0003,False
0.45,test,naive_bayes,12,nBack_con_0003,False
1.0,train,decision_tree,12,nBack_con_0003,False
0.525,test,decision_tree,12,nBack_con_0003,False
1.0,train,svm_kernel,12,nBack_con_0003_407,False
0.48936170212765956,test,svm_kernel,12,nBack_con_0003_407,False
0.5806451612903226,train,naive_bayes,12,nBack_con_0003_407,False
