Score,Type,Model,Classifier,Contrast_name
0.8920863309352518,train,svm_kernel,12,Faces_con_0001
0.5428571428571428,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.5714285714285714,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
0.6258992805755396,train,svm_kernel,12,Faces_con_0001
0.6571428571428571,test,svm_kernel,12,Faces_con_0001
0.5827338129496403,train,naive_bayes,12,Faces_con_0001
0.42857142857142855,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
0.8633093525179856,train,svm_kernel,12,Faces_con_0001
0.6,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.4,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.45714285714285713,test,decision_tree,12,Faces_con_0001
0.6690647482014388,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
0.5899280575539568,train,svm_kernel,12,Faces_con_0001
0.6285714285714286,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
0.6474820143884892,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.6834532374100719,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6285714285714286,test,decision_tree,12,Faces_con_0001
0.7338129496402878,train,svm_kernel,12,Faces_con_0001
0.5142857142857142,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4857142857142857,test,decision_tree,12,Faces_con_0001
0.7553956834532374,train,svm_kernel,12,Faces_con_0001
0.42857142857142855,test,svm_kernel,12,Faces_con_0001
0.6690647482014388,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6857142857142857,test,decision_tree,12,Faces_con_0001
0.6546762589928058,train,svm_kernel,12,Faces_con_0001
0.4,test,svm_kernel,12,Faces_con_0001
0.6618705035971223,train,naive_bayes,12,Faces_con_0001
0.4857142857142857,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
0.9784172661870504,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.6402877697841727,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6,test,decision_tree,12,Faces_con_0001
1.0,train,svm_kernel,12,Faces_con_0001
0.45714285714285713,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.4,test,decision_tree,12,Faces_con_0001
0.6187050359712231,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.7122302158273381,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
0.935251798561151,train,svm_kernel,12,Faces_con_0001
0.5142857142857142,test,svm_kernel,12,Faces_con_0001
0.6762589928057554,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
0.6402877697841727,train,svm_kernel,12,Faces_con_0001
0.5714285714285714,test,svm_kernel,12,Faces_con_0001
0.6546762589928058,train,naive_bayes,12,Faces_con_0001
0.5428571428571428,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.6,test,decision_tree,12,Faces_con_0001
0.9784172661870504,train,svm_kernel,12,Faces_con_0001
0.4857142857142857,test,svm_kernel,12,Faces_con_0001
0.6474820143884892,train,naive_bayes,12,Faces_con_0001
0.6,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.5142857142857142,test,decision_tree,12,Faces_con_0001
0.9136690647482014,train,svm_kernel,12,Faces_con_0001
0.5142857142857142,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.5142857142857142,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
0.6330935251798561,train,svm_kernel,12,Faces_con_0001
0.6,test,svm_kernel,12,Faces_con_0001
0.697841726618705,train,naive_bayes,12,Faces_con_0001
0.6571428571428571,test,naive_bayes,12,Faces_con_0001
1.0,train,decision_tree,12,Faces_con_0001
0.42857142857142855,test,decision_tree,12,Faces_con_0001
